OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu01283,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Erysipelotrichia(72),Erysipelotrichales(72),Erysipelotrichaceae(72),Erysipelotrichaceae_unclassified(72),
Otu01284,1.2e-05,0,9e-06,0,0,0,0.296873,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01285,1.6e-05,0,7e-06,0,0,0,0.304197,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(86),
Otu01287,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01291,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01296,0,0,0,1.3e-05,0,9e-06,0.140624,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01304,1.2e-05,0,6e-06,0,0,0,0.296873,0.72406914893617,Bacteria(100),Deferribacteres(100),Deferribacteres(100),Deferribacterales(100),Deferribacteraceae(100),Mucispirillum(100),
Otu01306,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01314,0,0,0,7e-06,0,7e-06,0.375,0.72406914893617,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01319,0,0,0,1.3e-05,0,1.3e-05,0.140624,0.72406914893617,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01321,1.2e-05,0,6e-06,0,0,0,0.296873,0.72406914893617,Bacteria(100),Candidatus_Saccharibacteria(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),Candidatus_Saccharibacteria_unclassified(100),
